id,level,number,kanji,meaning_ko,included_words,source
KANJI-001,N5,1,丁,고무래 정,丁寧だ,JLPT_N5_N4_kanji_collection.md
KANJI-002,N5,2,丈,어른 장,大丈夫だ,JLPT_N5_N4_kanji_collection.md
KANJI-003,N4,3,上,위 상,以上,JLPT_N5_N4_kanji_collection.md
KANJI-004,N5,4,世,세상 세,世話,JLPT_N5_N4_kanji_collection.md
KANJI-005,N5,5,両,두 량,両親,JLPT_N5_N4_kanji_collection.md
KANJI-006,N4,6,中,가운데 중,途中,JLPT_N5_N4_kanji_collection.md
KANJI-007,N5,7,予,미리 예,予約,JLPT_N5_N4_kanji_collection.md
KANJI-008,N5,8,事,일 사,返事,JLPT_N5_N4_kanji_collection.md
KANJI-009,N5,9,交,사귈 교,交番,JLPT_N5_N4_kanji_collection.md
KANJI-010,N5,10,人,사람 인,人,JLPT_N5_N4_kanji_collection.md
KANJI-011,N4,11,今,이제 금,今度,JLPT_N5_N4_kanji_collection.md
KANJI-012,N4,12,介,낄 개,紹介する,JLPT_N5_N4_kanji_collection.md
KANJI-013,N4,13,以,써 이,以上,JLPT_N5_N4_kanji_collection.md
KANJI-014,N5,14,会,모일 회,"会話する, 会う, 会社, 会議, 都会",JLPT_N5_N4_kanji_collection.md
KANJI-015,N5,15,伝,전할 전,手伝う,JLPT_N5_N4_kanji_collection.md
KANJI-016,N4,16,似,닮을 사,似合う,JLPT_N5_N4_kanji_collection.md
KANJI-017,N5,17,体,몸 체,体,JLPT_N5_N4_kanji_collection.md
KANJI-018,N5,18,使,부릴 사,使う,JLPT_N5_N4_kanji_collection.md
KANJI-019,N5,19,便,편할 편,便利だ,JLPT_N5_N4_kanji_collection.md
KANJI-020,N5,20,係,맬 계,係,JLPT_N5_N4_kanji_collection.md
KANJI-021,N5,21,借,빌릴 차,借りる,JLPT_N5_N4_kanji_collection.md
KANJI-022,N5,22,優,뛰어날,優しい,JLPT_N5_N4_kanji_collection.md
KANJI-023,N4,23,元,근본 원,元気だ,JLPT_N5_N4_kanji_collection.md
KANJI-024,N5,24,八,여덟 팔,八百屋,JLPT_N5_N4_kanji_collection.md
KANJI-025,N4,25,写,베낄 사,写真,JLPT_N5_N4_kanji_collection.md
